place,user_name,login,"1(Система счисления)","2(Количество символов)","3(Минимальное число)","4(Трамвай)","Score"
1,"У 01 09 Иванов И","sh-kaluga16-01-09-1","100(+)","100(+)","100(+1)","100","400"
2,"У 01 09 Петров П","sh-kaluga16-01-09-2","90(+)","95(+)","85","90","360"
3,"У 01 10 Сидорова А","sh-kaluga16-01-10-1","100(+)","100(+)","100","95","395"
4,"У 01 10 Козлов Д","sh-kaluga16-01-10-2","85","90","95","80","350"
1,"У 01 11 Николаева Е","sh-kaluga16-01-11-1","95","100(+)","90","85","370"
2,"У 01 11 Федоров А","sh-kaluga16-01-11-2","80","85","90","75","330"
3,"У 02 09 Смирнова О","sh-kaluga16-02-09-1","100(+)","100(+)","100","100","400"
4,"У 02 09 Васильев М","sh-kaluga16-02-09-2","95","90","85","90","360"
1,"У 02 10 Павлова М","sh-kaluga16-02-10-1","90","95","100","95","380"
2,"У 02 10 Семенов И","sh-kaluga16-02-10-2","85","80","75","70","310"
3,"У 02 11 Михайлов А","sh-kaluga16-02-11-1","100(+)","95","90","85","370"
4,"У 02 11 Алексеева Т","sh-kaluga16-02-11-2","75","80","85","80","320"
1,"У 03 09 Орлов В","sh-kaluga16-03-09-1","95","100(+)","95","90","380"
2,"У 03 09 Захарова Ю","sh-kaluga16-03-09-2","90","85","80","75","330"
3,"У 03 10 Белов Р","sh-kaluga16-03-10-1","100(+)","95","90","85","370"
4,"У 03 10 Киселева А","sh-kaluga16-03-10-2","80","75","70","65","290"
1,"У 03 11 Григорьев П","sh-kaluga16-03-11-1","85","90","95","90","360"
2,"У 03 11 Титова И","sh-kaluga16-03-11-2","70","75","80","75","300"
3,"У 04 09 Комаров А","sh-kaluga16-04-09-1","100(+)","95","90","85","370"
4,"У 04 09 Щербакова В","sh-kaluga16-04-09-2","95","90","85","80","350"
1,"У 04 10 Мельников Д","sh-kaluga16-04-10-1","90","85","80","75","330"
2,"У 04 10 Волкова Е","sh-kaluga16-04-10-2","85","80","75","70","310"
3,"У 04 11 Лебедев С","sh-kaluga16-04-11-1","80","75","70","65","290"
4,"У 04 11 Романова О","sh-kaluga16-04-11-2","75","70","65","60","270"
1,"У 05 09 Егоров Т","sh-kaluga16-05-09-1","100(+)","100(+)","95","90","385"
2,"У 05 09 Степанова Л","sh-kaluga16-05-09-2","95","90","85","80","350"
3,"У 05 10 Кузнецов В","sh-kaluga16-05-10-1","90","85","80","75","330"
4,"У 05 10 Ильина Н","sh-kaluga16-05-10-2","85","80","75","70","310"
1,"У 05 11 Соколов Я","sh-kaluga16-05-11-1","80","75","70","65","290"
2,"У 05 11 Попова В","sh-kaluga16-05-11-2","75","70","65","60","270"
3,"У 06 09 Новиков Г","sh-kaluga16-06-09-1","95","100(+)","95","90","380"
4,"У 06 09 Морозова А","sh-kaluga16-06-09-2","90","85","80","75","330"
1,"У 06 10 Воробьев Е","sh-kaluga16-06-10-1","85","80","75","70","310"
2,"У 06 10 Цветкова Д","sh-kaluga16-06-10-2","80","75","70","65","290"
3,"У 06 11 Филиппов А","sh-kaluga16-06-11-1","75","70","65","60","270"
4,"У 06 11 Данилова К","sh-kaluga16-06-11-2","70","65","60","55","250"
1,"У 07 09 Жуков П","sh-kaluga16-07-09-1","100(+)","95","90","85","370"
2,"У 07 09 Савельева У","sh-kaluga16-07-09-2","95","90","85","80","350"
3,"У 07 10 Голубев М","sh-kaluga16-07-10-1","90","85","80","75","330"
4,"У 07 10 Чернова А","sh-kaluga16-07-10-2","85","80","75","70","310"
1,"У 07 11 Архипов Т","sh-kaluga16-07-11-1","80","75","70","65","290"
2,"У 07 11 Коновалова П","sh-kaluga16-07-11-2","75","70","65","60","270"
3,"У 08 09 Борисов М","sh-kaluga16-08-09-1","95","100(+)","95","90","380"
4,"У 08 09 Ковалева С","sh-kaluga16-08-09-2","90","85","80","75","330"
1,"У 08 10 Гусев Д","sh-kaluga16-08-10-1","85","80","75","70","310"
2,"У 08 10 Карпова В","sh-kaluga16-08-10-2","80","75","70","65","290"
3,"У 08 11 Тихонов Н","sh-kaluga16-08-11-1","75","70","65","60","270"
4,"У 08 11 Андреева А","sh-kaluga16-08-11-2","70","65","60","55","250"
1,"У 09 09 Панов М","sh-kaluga16-09-09-1","100(+)","95","90","85","370"
2,"У 09 09 Соловьева Д","sh-kaluga16-09-09-2","95","90","85","80","350"
3,"У 09 10 Шестаков И","sh-kaluga16-09-10-1","90","85","80","75","330"
4,"У 09 10 Ефимова К","sh-kaluga16-09-10-2","85","80","75","70","310"
1,"У 09 11 Денисов Р","sh-kaluga16-09-11-1","80","75","70","65","290"
2,"У 09 11 Одинцова В","sh-kaluga16-09-11-2","75","70","65","60","270"
1,"У 10 09 Силин А","sh-kaluga16-10-09-1","95","100(+)","95","90","380"
2,"У 10 09 Терентьева А","sh-kaluga16-10-09-2","90","85","80","75","330"
3,"У 10 10 Князев В","sh-kaluga16-10-10-1","85","80","75","70","310"
4,"У 10 10 Сахарова Э","sh-kaluga16-10-10-2","80","75","70","65","290"
1,"У 10 11 Миронов Д","sh-kaluga16-10-11-1","75","70","65","60","270"
2,"У 10 11 Широкова Л","sh-kaluga16-10-11-2","70","65","60","55","250"
